Station,Pop_1m,Pop_2m,Pop_3m
12th Street,16062,175958,298398
16th Street Mission,63489,339093,554106
19th Street,16062,165215,298398
24th Street Mission,108915,315201,621661
Antioch,0,66933,110721
Ashby,68219,173897,226433
Balboa Park,106589,253123,548413
Bay Fair,41059,93041,286050
Berryessa,28726,197640,293347
Castro Valley,0,110328,165604
Civic Center,74898,347795,500384
Coliseum,0,123040,267162
Colma,64887,114402,341124
Concord,0,87117,122213
Daly City,0,231056,330204
Downtown Berkeley,82930,153753,218308
Dublin,54420,54420,90736
El Cerrito Plaza,21040,70450,216274
El Cerrito del Norte,0,81472,140593
Embarcadero,54398,210921,425020
Fremont,73855,73855,120131
Fruitvale,52299,90602,317296
Glen Park,115068,287877,624151
Hayward,66056,66056,230509
Lafayette,29639,29639,52373
Lake Merritt,16062,175958,281357
MacArthur,22811,143953,271301
Millbrae,22710,22845,108699
Milpitas,0,31170,164682
Montgomery Street,85465,268802,425020
North Berkeley,50769,134802,218308
North Concord,38568,58689,58689
OAK,0,84499,154627
Orinda,19341,19341,32706
Pittsburg,0,0,96081
Pittsburg Center,96081,96081,96081
Pleasant Hill,22734,86258,107080
Powell Street,140730,303556,496390
Richmond,0,85676,175840
Rockridge,39852,151725,317026
SFO,135,22845,133566
San Bruno,43124,110856,133566
San Leandro,48088,123740,224179
South Hayward,79235,93452,234109
South San Francisco,0,186691,229815
Union City,74601,148456,227691
Walnut Creek,22734,43556,91133
Warm Springs,0,120913,120913
West Dublin,0,54420,90736
West Oakland,26254,42316,229058
